family	genus	species	decimalLatitude	decimalLongitude
Bothidae			-33.9	151.417
Bothidae			-33.967	151.367
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.9	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.817	151.417
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-34.133	151.183
Bothidae			-34.1	151.25
Bothidae			-33.75	151.433
Bothidae			-34.133	151.183
Bothidae			-33.967	151.367
Bothidae			-33.967	151.367
Bothidae			-34.1	151.233
Bothidae			-34.1	151.25
Bothidae			-33.75	151.433
Bothidae			-34.1	151.25
Bothidae			-33.9	151.417
Bothidae			-33.967	151.367
Bothidae			-33.75	151.433
Bothidae			-33.967	151.3
Bothidae			-33.75	151.433
Bothidae			-33.75	151.433
Bothidae			-33.817	151.333
Bothidae			-33.967	151.3
Bothidae			-33.967	151.3
Bothidae			-33.733	151.35
Bothidae			-33.733	151.35
Bothidae			-34.133	151.15
Bothidae			-33.733	151.35
Bothidae			-33.883	151.317
Bothidae			-34.133	151.15
Bothidae			-34.133	151.15
Bothidae			-34.1	151.233
Bothidae			-34.1	151.233
Bothidae			-34.1	151.233
Bothidae			-33.967	151.3
Bothidae			-33.967	151.3
Bothidae			-33.967	151.3
Bothidae			-33.883	151.317
Bothidae			-33.883	151.317
Bothidae			-33.883	151.317
Bothidae			-33.817	151.333
Bothidae			-33.817	151.333
Bothidae			-33.817	151.333
Bothidae			-33.733	151.35
Bothidae			-34.133	151.15
Bothidae			-33.733	151.35
Bothidae			-33.733	151.35
Bothidae			-34.133	151.15
Bothidae			-34.133	151.15
Bothidae			-34.1	151.233
Bothidae			-34.1	151.233
Bothidae			-34.1	151.233
Bothidae			-33.967	151.3
Bothidae			-33.967	151.3
Bothidae			-33.967	151.3
Bothidae			-33.817	151.333
Bothidae			-33.817	151.333
Bothidae			-33.817	151.333
Bothidae			-33.817	151.333
Bothidae			-33.733	151.35
Bothidae			-33.733	151.35
Bothidae			-34.133	151.15
Bothidae			-34.133	151.15
Bothidae			-34.133	151.15
Bothidae			-33.967	151.3
Bothidae			-33.817	151.333
Bothidae			-33.733	151.35
Bothidae			-33.817	151.333
Bothidae			-33.733	151.35
Bothidae			-34.133	151.15
Bothidae			-34.1	151.233
Bothidae			-34.133	151.15
Bothidae			-33.733	151.35
Bothidae			-33.733	151.35
Bothidae			-33.733	151.35
Bothidae			-33.733	151.35
Bothidae			-33.733	151.35
Bothidae			-34.1	151.233
Bothidae			-34.133	151.15
Bothidae			-34.1	151.233
Bothidae			-34.133	151.15
Bothidae			-34.1	151.233
Bothidae			-33.967	151.3
Bothidae			-33.733	151.35
Bothidae			-34.133	151.15
Bothidae			-33.967	151.3
Bothidae			-33.967	151.3
Bothidae			-33.883	151.317
Bothidae			-33.883	151.317
Bothidae			-33.733	151.35
Bothidae			-33.733	151.35
Bothidae			-33.733	151.35
Bothidae			-34.133	151.15
Bothidae			-34.133	151.15
Bothidae			-34.133	151.15
Bothidae			-34.1	151.233
Bothidae			-34.1	151.233
Bothidae			-34.1	151.233
Bothidae			-33.967	151.3
Bothidae			-33.883	151.317
Bothidae			-33.817	151.333
Bothidae			-33.817	151.333
Bothidae			-33.733	151.35
Bothidae			-33.733	151.35
Bothidae			-33.733	151.35
Bothidae			-33.733	151.35
Bothidae			-34.133	151.15
Bothidae			-34.133	151.15
Bothidae			-33.733	151.35
Bothidae			-33.733	151.35
Bothidae			-33.733	151.35
Bothidae			-34.133	151.15
Bothidae			-33.733	151.35
Bothidae			-34.133	151.15
Bothidae			-34.133	151.15
Bothidae			-34.1	151.233
Bothidae			-34.1	151.233
Bothidae			-33.967	151.3
Bothidae			-33.967	151.3
Bothidae			-33.967	151.3
Bothidae			-34.13333	151.2333
Bothidae			-33.883	151.317
Bothidae			-34.13333	151.2333
Bothidae			-33.817	151.333
Bothidae			-34.13333	151.2333
Bothidae			-34.1	151.2833
Bothidae			-33.817	151.333
Bothidae			-33.96667	151.45
Bothidae			-34.1	151.2833
Bothidae			-33.83333	151.43
Bothidae			-33.96667	151.45
Bothidae			-33.9	151.4667
Bothidae			-34.1	151.2833
Bothidae			-33.9	151.4667
Bothidae			-33.83333	151.43
Bothidae			-33.83333	151.43
Bothidae			-33.9	151.4667
Bothidae			-33.76667	151.45
Bothidae			-33.76667	151.45
Bothidae			-33.76667	151.45
Bothidae			-34.1	151.2833
Bothidae			-34.1	151.2833
Bothidae			-34.1	151.2833
Bothidae			-33.96667	151.45
